"ID","Enumerator","Fasilitas","Wilayah","Thn Pembangunan","Thn Rehabilitasi","Kapasitas Desain","Kapasitas Pakai","Sistem","Kondisi","Pengelola","Pengecekan","Nama Lembaga","Bentuk Lembaga","Jlh Anggota","Kel Bidang","Operasional","Asset","Status","Latitude","Longitude"
"1","manalu_garang","IPALD Dusun 8 Desa Tembung Kec. Percut Sei Tuan_Dana USAID 2008","Jl. Beringin GG Damai Dusun XI","2008","2008","60","25","Anaerobic baffled reactor-bak pengendapan kedua","Rusak","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM","KSM KARYA SEJAHTERA","2 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5876552","98.7404287"
"2","manalu_garang","IPALD Desa Tadukan Raga Kec. STM Hilir_DAK 2014","Jl. Undian gg. Seroja Dusun IV Desa Tadukan Raga","2014","2014","50","15","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM","KSM/ Mhd Syafi'i","1 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5969878","98.7404317"
"3","Chairul Ichsan","IPALD Desa Bandar Khalifah Kec. Percut Sei Tuan_Sanimas IDB 2014","Jalan Bejo Desa bandar Khalifah Kec. Percut Sei Tuan","2014","2014","50","55","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Flamboyan","KSM Flamboyan","0 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6101827","98.7412935"
"4","Chairul Ichsan","IPALD Desa Tembung I Kec. Percut Sei Tuan_Sanimas IDB 2014","Jl. Beringin gg Pribadi Dusun 9 Desa Tembung Kec. Percut Sei Tuan","2014","2014","60","25","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Kuini","KSM KUINI","5 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5920149","98.7423666"
"5","manalu_garang","IPALD Desa Tembung II Kec. Percut Sei Tuan_Sanimas IDB 2014","Jl. Istirahat GG. Manyar Dusun VIII Desa Tembung","2014","2014","50","25","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Karya Bersama","KSM KARYA BERSAMA","3 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5923234","98.7542235"
"6","Chairul Ichsan","IPALD Desa Bandar Khalifah Kec. Percut Sei Tuan_Sanimas IDB 2015","Jalan Mesjid Al Mubin gg Dame Desa Bandar Khalifah II Kec. Percut Sei Tuan","2015","2015","50","0","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Selasih","KSM SELASIH","0 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.6160113","98.7512931"
"7","Chairul Ichsan","IPALD Desa Bandar Klippa Kec. Percut Sei Tuan_Sanimas IDB 2015","Jalan Mesjid gg Pelita Desa Bandar Klippa","2015","2015","50","60","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Pelita Mandiri","KSM PELITA MANDIRI","2 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.601372","98.7568878"
"8","manalu_garang","IPALD Desa Patumbak I Kec. Patumbak _Sanimas IDB 2015","Jl. Deli Tua-PaTumbak gg. Karya Dusun I Desa PATUMBAK I","2015","2015","50","100","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Karya","KSM KARYA","0 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.4455557","98.7040338"
"9","Chairul Ichsan","IPALD Desa Patumbak I Kec. Patumbak - Sanimas IDB 2015","Gg Famili Dusun 2 Desa Patumbak 1 kecamatan Patumbak","2015","2015","50","49","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Family","KSM FAMILY","2 orang","Perawatan dan pemeliharaan IPAL","Iuran masyarakat","Bangunan dan fasilitasi IPAL","Serah terima aset","3.442733","98.7091626"
"10","Chairul Ichsan","IPALD Desa Tanjung Morawa A Kec. Tanjung Morawa_Sanimas IDB 2015","Jalan Sei Pancur Komplek Perumahan Puri Aek Pancur Desa TANJUNG Morawa A kec. tanjung Morawa","2015","2015","50","41","Anaerobic baffled reactor-bak pengendapan kedua","Baik","Kelompok Swadaya Masyarakat (KSM)","Tidak dilakukan","KSM Puri Aek Pancur","KSM PURI AEK PANCUR","3 orang","Perawatan dan pemeliharaan IPAL","Tidak ada","Bangunan dan fasilitasi IPAL","Serah terima aset","3.5017247","98.7933974"
